postal_code,segment_number,segment_description,average_household_income,average_household_net_worth,home_type
V8A 2P4,62,"Older, lower-middle-income suburban singles | Suburban Recliners consists primarily of older individuals and couples living in affordable suburban neighbourhoods surrounding smaller and mid-sized cities. Characterized by a large proportion of empty-nesters and seniors earning modest lower-middle incomes, this segment tends to reside in single-detached homes and low-rise apartments, where they value a strong sense of community. These third-plus-generation Canadians enjoy their leisure time by attending local cultural events, theatre, and engaging in outdoor activities. Generally frugal, they make mindful spending decisions and show a strong interest in civic involvement and sustainability. Their lifestyle reflects a desire for connection, continuity, and meaningful engagement within their local communities.","$95,199","$461,727",Single Detached / Low Rise Apt
INVALID,,,,,
V3S 4P3,18,"Culturally diverse, middle-aged, middle-income urban fringe families | Multi-Cultural Corners consists of culturally diverse neighbourhoods where a significant proportion of residents are foreign-born and belong to various visible minority groups, including South Asian and Black communities. Many households include older children and multigenerational families. This segment enjoys an active lifestyle, regularly participating in sports and local cultural events. Households typically earn upper-middle incomes, supporting a comfortable lifestyle centered around family, tradition, and community connection. Their everyday choices are shaped by a desire to maintain cultural roots while thriving in a modern Canadian context.","$156,752","$1,079,579",Single Detached
M5V 2H1,,,,,
V6R 1E8,2,"Wealthy, older, urban families and couples | Wealthy & Wise represents a segment of older, affluent families and couples who enjoy high living standards and reside in prestigious neighbourhoods across Canada’s large cities. With household incomes that significantly exceed the national average, Wealthy & Wise own luxury homes and demonstrate a strong commitment to education, as evidenced by their higher rates of advanced degrees. Their active lifestyles include a variety of cultural and recreational activities, from attending live performances to engaging in fitness pursuits. This segment strongly emphasizes authenticity and environmental stewardship, making them ideal candidates for campaigns that spotlight social impact and meaningful experiences.","$284,106","$3,581,482",Single Detached
V6K 4S9,12,"Younger, multi-ethnic urban singles and couples | Eat, Play, Love represents a dynamic group of young, urban singles and couples concentrated primarily in major Canadian cities like Toronto and Vancouver. Living predominantly in high-rise condos, they are culturally engaged, often attending film festivals, concerts, and sporting events. With a high rate of university graduates and careers in business, science, and the arts, they value authenticity, personal connection, and originality. This segment frequently participates in fitness activities, travels extensively, and promotes sustainability through their consumption patterns. Their openness to new ideas and technologies reflects a forward-thinking mindset and a desire to stay meaningfully connected to the evolving world around them.","$139,766","$926,329",Apt 5+
V9N 9P4,19,"Suburban, financially comfortable, middle-aged families | Family Mode, found in suburban neighbourhoods, represents comfortable, blue-collar households with upper-middle incomes. These large, middle-aged families typically live in owned single-detached homes. Members of this segment value personal responsibility and maintain a strong sense of control over their financial situation. Their leisure time often involves attending local sporting events, arts festivals, and dining at family-friendly restaurants, reflecting a shared focus on creating meaningful experiences together. With high participation in cultural and sports activities, this segment is grounded in family values, routine, and an active, experience-rich lifestyle.","$169,981","$1,032,934",Single Detached
V8N 4J2,2,"Wealthy, older, urban families and couples | Wealthy & Wise represents a segment of older, affluent families and couples who enjoy high living standards and reside in prestigious neighbourhoods across Canada’s large cities. With household incomes that significantly exceed the national average, Wealthy & Wise own luxury homes and demonstrate a strong commitment to education, as evidenced by their higher rates of advanced degrees. Their active lifestyles include a variety of cultural and recreational activities, from attending live performances to engaging in fitness pursuits. This segment strongly emphasizes authenticity and environmental stewardship, making them ideal candidates for campaigns that spotlight social impact and meaningful experiences.","$284,106","$3,581,482",Single Detached
V8R 3M7,9,"Older, financially comfortable, suburban couples and families | Boomer Bliss captures a segment of older couples and families living in suburban areas surrounding large cities across Canada. With a significant proportion of retirees and a higher-than-average level of university education, this segment enjoys upper-middle incomes that support ownership of spacious single-detached homes. They actively pursue cultural interests, frequently attending local arts events and participating in outdoor activities. Their lifestyle reflects a desire for social connection and leisure, characterized by personal enrichment, neighbourhood involvement, and a strong appreciation for well-being and balance.","$163,097","$1,513,488",Single Detached
T1L 1B1,6,"Younger and middle-aged, urban, high-income households | Downtown Verve captures young to middle-aged urban families, couples, and some singles, predominantly residing in cities like Toronto, Calgary, and Vancouver. Characterized by their educational achievements and high-income levels, this segment effortlessly blends work and play into their everyday lives. Downtown Verve are advocates for ecological lifestyles, ethical consumerism, and culture sampling, making them open to experiences that align with their values. Regularly participating in various recreational activities - from fitness classes to cultural events - they seek meaningful experiences that enhance their sense of community and individualism.","$201,216","$1,559,462",Mixed
