postal_code,segment_number,segment_name,segment_description,who_they_are,average_household_income,education,urbanity,average_household_net_worth,occupation,diversity,family_life,tenure,home_type,status,confirmed,cached_at,expires_at
M5V 2H1,,,,,,,,,,,,,,error,0,2025-09-09 21:19:24,2025-12-08 14:19:24.038046
V8A 2P4,62,Suburban Recliners,"Older, lower-middle-income suburban singles | Suburban Recliners consists primarily of older individuals and couples living in affordable suburban neighbourhoods surrounding smaller and mid-sized cities. Characterized by a large proportion of empty-nesters and seniors earning modest lower-middle incomes, this segment tends to reside in single-detached homes and low-rise apartments, where they value a strong sense of community. These third-plus-generation Canadians enjoy their leisure time by attending local cultural events, theatre, and engaging in outdoor activities. Generally frugal, they make mindful spending decisions and show a strong interest in civic involvement and sustainability. Their lifestyle reflects a desire for connection, continuity, and meaningful engagement within their local communities.","Suburban Recliners consists primarily of older individuals and couples living in affordable suburban neighbourhoods surrounding smaller and mid-sized cities. Characterized by a large proportion of empty-nesters and seniors earning modest lower-middle incomes, this segment tends to reside in single-detached homes and low-rise apartments, where they value a strong sense of community. These third-plus-generation Canadians enjoy their leisure time by attending local cultural events, theatre, and engaging in outdoor activities. Generally frugal, they make mindful spending decisions and show a strong interest in civic involvement and sustainability. Their lifestyle reflects a desire for connection, continuity, and meaningful engagement within their local communities.",95199,Mixed,Suburban,461727,Service Sector / Blue Collar,Low,Singles,Rent & Own,Single Detached / Low Rise Apt,success,1,2025-09-09 21:19:48,2025-12-08 14:19:48.079610
123456,Unknown,,,,,,,,,,,,,invalid,0,2025-09-09 21:19:48,2025-12-08 14:19:48.082107
Z9Z 9Z9,,,,,,,,,,,,,,error,0,2025-09-09 21:20:05,2025-12-08 14:20:05.973917
V9M 1R8,21,Scenic Retirement,"Older, middle-income suburbanites | Scenic Retirement consists of older couples and singles over the age of 75, typically found in suburban areas of smaller Canadian cities. On average, they earn household incomes above $120,000, often from pensions and other income sources. This segment has a strong inclination toward maintaining a healthy lifestyle and actively participates in leisure activities such as gardening and curling. With many living independently and without children at home, they seek meaningful local experiences and value autonomy and national pride. While they embrace technology to simplify daily tasks and stay connected, they continue to prefer face-to-face interaction when building connections and maintaining social ties.","Scenic Retirement consists of older couples and singles over the age of 75, typically found in suburban areas of smaller Canadian cities. On average, they earn household incomes above $120,000, often from pensions and other income sources. This segment has a strong inclination toward maintaining a healthy lifestyle and actively participates in leisure activities such as gardening and curling. With many living independently and without children at home, they seek meaningful local experiences and value autonomy and national pride. While they embrace technology to simplify daily tasks and stay connected, they continue to prefer face-to-face interaction when building connections and maintaining social ties.",129387,College / High School / Trade,Suburban,1255437,Mixed,Low,Mixed,Own,Single Detached,success,0,2025-09-09 21:30:49,2025-12-08 14:30:49.635619
V9M 2V7,5,First-Class Families,"Large, high-income, middle-aged, suburban families | First-Class Families represent an affluent suburban segment centred in family life. Most live in spacious, single-detached homes, often with four or more family members. With household incomes well over $200,000, these families are actively involved in a range of recreational activities, especially team sports and local events. Technologically savvy, they value quality, reliability, and experiences that foster togetherness and social connection. Their inclination toward leaving a legacy underscores a strong focus on heritage, long-term planning, and shaping a meaningful future.","First-Class Families represent an affluent suburban segment centred in family life. Most live in spacious, single-detached homes, often with four or more family members. With household incomes well over $200,000, these families are actively involved in a range of recreational activities, especially team sports and local events. Technologically savvy, they value quality, reliability, and experiences that foster togetherness and social connection. Their inclination toward leaving a legacy underscores a strong focus on heritage, long-term planning, and shaping a meaningful future.",226703,University / College,Suburban,1738429,White Collar / Service Sector,Low,Families,Own,Single Detached,success,0,2025-09-09 21:31:13,2025-12-08 14:31:13.719803
V9M 7Z8,21,Scenic Retirement,"Older, middle-income suburbanites | Scenic Retirement consists of older couples and singles over the age of 75, typically found in suburban areas of smaller Canadian cities. On average, they earn household incomes above $120,000, often from pensions and other income sources. This segment has a strong inclination toward maintaining a healthy lifestyle and actively participates in leisure activities such as gardening and curling. With many living independently and without children at home, they seek meaningful local experiences and value autonomy and national pride. While they embrace technology to simplify daily tasks and stay connected, they continue to prefer face-to-face interaction when building connections and maintaining social ties.","Scenic Retirement consists of older couples and singles over the age of 75, typically found in suburban areas of smaller Canadian cities. On average, they earn household incomes above $120,000, often from pensions and other income sources. This segment has a strong inclination toward maintaining a healthy lifestyle and actively participates in leisure activities such as gardening and curling. With many living independently and without children at home, they seek meaningful local experiences and value autonomy and national pride. While they embrace technology to simplify daily tasks and stay connected, they continue to prefer face-to-face interaction when building connections and maintaining social ties.",129387,College / High School / Trade,Suburban,1255437,Mixed,Low,Mixed,Own,Single Detached,success,0,2025-09-09 21:31:37,2025-12-08 14:31:37.125499
V9N 9P4,25,Suburban Sports,"Upper-middle income, younger and middle-aged suburbanites | Suburban Sports Enthusiasts represent a dynamic segment of younger and middle-aged families, predominantly residing in suburban single-detached homes across Canada. With a mix of educational backgrounds - many focused on trade schools - residents often work in service or blue-collar occupations, earning upper-middle incomes. This group frequently participates in sports like hockey and enjoys a range of outdoor hobbies, blending an active lifestyle with activities that suit all members of the family. They value stability and traditional norms, often showing resistance to rapid technological change. Their lifestyle is grounded in routine, hands-on engagement, and a strong commitment to family and local life.","Suburban Sports Enthusiasts represent a dynamic segment of younger and middle-aged families, predominantly residing in suburban single-detached homes across Canada. With a mix of educational backgrounds - many focused on trade schools - residents often work in service or blue-collar occupations, earning upper-middle incomes. This group frequently participates in sports like hockey and enjoys a range of outdoor hobbies, blending an active lifestyle with activities that suit all members of the family. They value stability and traditional norms, often showing resistance to rapid technological change. Their lifestyle is grounded in routine, hands-on engagement, and a strong commitment to family and local life.",146623,College / Trade School / High School,Suburban,916822,Service Sector / Blue Collar,Low,Families / Couples,Own,Single Detached,success,0,2025-09-09 21:32:00,2025-12-08 14:32:00.504198
V9P 2V5,21,Scenic Retirement,"Older, middle-income suburbanites | Scenic Retirement consists of older couples and singles over the age of 75, typically found in suburban areas of smaller Canadian cities. On average, they earn household incomes above $120,000, often from pensions and other income sources. This segment has a strong inclination toward maintaining a healthy lifestyle and actively participates in leisure activities such as gardening and curling. With many living independently and without children at home, they seek meaningful local experiences and value autonomy and national pride. While they embrace technology to simplify daily tasks and stay connected, they continue to prefer face-to-face interaction when building connections and maintaining social ties.","Scenic Retirement consists of older couples and singles over the age of 75, typically found in suburban areas of smaller Canadian cities. On average, they earn household incomes above $120,000, often from pensions and other income sources. This segment has a strong inclination toward maintaining a healthy lifestyle and actively participates in leisure activities such as gardening and curling. With many living independently and without children at home, they seek meaningful local experiences and value autonomy and national pride. While they embrace technology to simplify daily tasks and stay connected, they continue to prefer face-to-face interaction when building connections and maintaining social ties.",129387,College / High School / Trade,Suburban,1255437,Mixed,Low,Mixed,Own,Single Detached,success,0,2025-09-09 21:32:23,2025-12-08 14:32:23.844095
V9R 1T6,57,Juggling Acts,"Younger, urban service sector and blue collar singles | Juggling Acts is characterized by a vibrant blend of young singles, couples, and families, particularly in small- and medium-sized cities such as London and Kitchener-Cambridge. This segment includes many renters living in row houses and low-rise apartments, typically earning middle incomes from service and blue-collar jobs. Their weekend activities are often family-focused, with a strong inclination toward outdoor adventures, neighbourhood festivals, and local fairs. They value authenticity and seek meaningful experiences that align with their practical outlook, family priorities, and desire for connection.","Juggling Acts is characterized by a vibrant blend of young singles, couples, and families, particularly in small- and medium-sized cities such as London and Kitchener-Cambridge. This segment includes many renters living in row houses and low-rise apartments, typically earning middle incomes from service and blue-collar jobs. Their weekend activities are often family-focused, with a strong inclination toward outdoor adventures, neighbourhood festivals, and local fairs. They value authenticity and seek meaningful experiences that align with their practical outlook, family priorities, and desire for connection.",103378,High School / College,Urban,415686,Service Sector / Blue Collar,Low,Singles,Rent & Own,Mixed,success,0,2025-09-09 21:32:47,2025-12-08 14:32:47.277334
