postal_code,segment_number,segment_name,segment_description,who_they_are,average_household_income,education,urbanity,average_household_net_worth,occupation,diversity,family_life,tenure,home_type,status,confirmed,cached_at,expires_at
V8S 5C1,53,Silver Flats,"Older low-income suburban singles and couples | Silver Flats primarily consists of retirees, with a high proportion of residents over the age of 75. Many live in low-rise apartments and represent a budget-conscious group aiming to make the most of modest incomes, often drawn from pensions and government transfers. Preferring a balance of social and solitary activities, they enjoy affordable leisure pursuits such as reading, crafting, and attending local cultural events. Indoors, they often spend time watching their favourite TV shows or connecting with friends. Their focus on legacy planning and ecological responsibility reflects a thoughtful group deeply rooted in community values, simplicity, and long-term thinking.","Silver Flats primarily consists of retirees, with a high proportion of residents over the age of 75. Many live in low-rise apartments and represent a budget-conscious group aiming to make the most of modest incomes, often drawn from pensions and government transfers. Preferring a balance of social and solitary activities, they enjoy affordable leisure pursuits such as reading, crafting, and attending local cultural events. Indoors, they often spend time watching their favourite TV shows or connecting with friends. Their focus on legacy planning and ecological responsibility reflects a thoughtful group deeply rooted in community values, simplicity, and long-term thinking.","$0 to $110,593",High School / College / Grade 9,Suburban,$0 to $600K,Mixed,Low,Singles / Couples,Rent,Apartments,success,0,2025-09-10 4:50,50:04.6
V8W 3S3,52,Friends & Roomies,"Young, culturally diverse singles in urban households | Friends & Roomies is a diverse segment composed primarily of younger singles, many of whom are first-generation Canadians living in urban centres. Educational backgrounds vary, and residents work across a range of service sector and white-collar jobs. Financially, this segment tends to earn lower-middle incomes, with many choosing rental living in low-rise apartments. They exhibit a strong affinity for social and cultural engagement, frequently attending music and film festivals as well as sporting events. These young experience-seekers are highly social, often spending time at bars, dance clubs, health clubs, and other affordable entertainment venues. Their lifestyles reflect a desire for connection, self-expression, and meaningful experiences grounded in values of diversity, inclusion, and sustainability.","Friends & Roomies is a diverse segment composed primarily of younger singles, many of whom are first-generation Canadians living in urban centres. Educational backgrounds vary, and residents work across a range of service sector and white-collar jobs. Financially, this segment tends to earn lower-middle incomes, with many choosing rental living in low-rise apartments. They exhibit a strong affinity for social and cultural engagement, frequently attending music and film festivals as well as sporting events. These young experience-seekers are highly social, often spending time at bars, dance clubs, health clubs, and other affordable entertainment venues. Their lifestyles reflect a desire for connection, self-expression, and meaningful experiences grounded in values of diversity, inclusion, and sustainability.","$0 to $110,593",University / High School / Grade 9,Urban,$0 to $600K,Mixed,High,Singles,Rent,Apartments,success,0,2025-09-10 4:38,38:51.5
V8T 1A7,52,Friends & Roomies,"Young, culturally diverse singles in urban households | Friends & Roomies is a diverse segment composed primarily of younger singles, many of whom are first-generation Canadians living in urban centres. Educational backgrounds vary, and residents work across a range of service sector and white-collar jobs. Financially, this segment tends to earn lower-middle incomes, with many choosing rental living in low-rise apartments. They exhibit a strong affinity for social and cultural engagement, frequently attending music and film festivals as well as sporting events. These young experience-seekers are highly social, often spending time at bars, dance clubs, health clubs, and other affordable entertainment venues. Their lifestyles reflect a desire for connection, self-expression, and meaningful experiences grounded in values of diversity, inclusion, and sustainability.","Friends & Roomies is a diverse segment composed primarily of younger singles, many of whom are first-generation Canadians living in urban centres. Educational backgrounds vary, and residents work across a range of service sector and white-collar jobs. Financially, this segment tends to earn lower-middle incomes, with many choosing rental living in low-rise apartments. They exhibit a strong affinity for social and cultural engagement, frequently attending music and film festivals as well as sporting events. These young experience-seekers are highly social, often spending time at bars, dance clubs, health clubs, and other affordable entertainment venues. Their lifestyles reflect a desire for connection, self-expression, and meaningful experiences grounded in values of diversity, inclusion, and sustainability.","$0 to $110,593",University / High School / Grade 9,Urban,$0 to $600K,Mixed,High,Singles,Rent,Apartments,success,0,2025-09-10 4:50,50:28.3
V8S 4Z2,51,On Their Own Again,"Culturally diverse, city seniors in apartment rentals | On Their Own Again consists of older singles living in high-rise rental apartments in urban centres such as London, Ottawa, and Hamilton. Many residents are aged 65 or older and live independently due to life changes such as the loss of a partner or divorce. This segment includes many newcomers from diverse cultural backgrounds, primarily from Asia and the U.K., contributing to a rich and varied neighbourhood dynamic. Residents often express concerns about their financial future, leading to a cautious approach to spending. Leisure activities are typically solitary and low-cost, focused on reading and media consumption, with some engagement in health and wellness routines. They strive to balance modest purchases for their homes and hobbies with a strong emphasis on financial prudence and long-term security.","On Their Own Again consists of older singles living in high-rise rental apartments in urban centres such as London, Ottawa, and Hamilton. Many residents are aged 65 or older and live independently due to life changes such as the loss of a partner or divorce. This segment includes many newcomers from diverse cultural backgrounds, primarily from Asia and the U.K., contributing to a rich and varied neighbourhood dynamic. Residents often express concerns about their financial future, leading to a cautious approach to spending. Leisure activities are typically solitary and low-cost, focused on reading and media consumption, with some engagement in health and wellness routines. They strive to balance modest purchases for their homes and hobbies with a strong emphasis on financial prudence and long-term security.","$0 to $110,593",Mixed,Urban,$0 to $600K,White Collar / Service Sector,Medium,Singles,Rent,Apt 5+,success,0,2025-09-10 4:49,49:40.8
V6S 2B5,51,On Their Own Again,"Culturally diverse, city seniors in apartment rentals | On Their Own Again consists of older singles living in high-rise rental apartments in urban centres such as London, Ottawa, and Hamilton. Many residents are aged 65 or older and live independently due to life changes such as the loss of a partner or divorce. This segment includes many newcomers from diverse cultural backgrounds, primarily from Asia and the U.K., contributing to a rich and varied neighbourhood dynamic. Residents often express concerns about their financial future, leading to a cautious approach to spending. Leisure activities are typically solitary and low-cost, focused on reading and media consumption, with some engagement in health and wellness routines. They strive to balance modest purchases for their homes and hobbies with a strong emphasis on financial prudence and long-term security.","On Their Own Again consists of older singles living in high-rise rental apartments in urban centres such as London, Ottawa, and Hamilton. Many residents are aged 65 or older and live independently due to life changes such as the loss of a partner or divorce. This segment includes many newcomers from diverse cultural backgrounds, primarily from Asia and the U.K., contributing to a rich and varied neighbourhood dynamic. Residents often express concerns about their financial future, leading to a cautious approach to spending. Leisure activities are typically solitary and low-cost, focused on reading and media consumption, with some engagement in health and wellness routines. They strive to balance modest purchases for their homes and hobbies with a strong emphasis on financial prudence and long-term security.","$0 to $110,593",Mixed,Urban,$0 to $600K,White Collar / Service Sector,Medium,Singles,Rent,Apt 5+,success,0,2025-09-10 20:46,46:31.7
V7T 2Y1,51,On Their Own Again,"Culturally diverse, city seniors in apartment rentals | On Their Own Again consists of older singles living in high-rise rental apartments in urban centres such as London, Ottawa, and Hamilton. Many residents are aged 65 or older and live independently due to life changes such as the loss of a partner or divorce. This segment includes many newcomers from diverse cultural backgrounds, primarily from Asia and the U.K., contributing to a rich and varied neighbourhood dynamic. Residents often express concerns about their financial future, leading to a cautious approach to spending. Leisure activities are typically solitary and low-cost, focused on reading and media consumption, with some engagement in health and wellness routines. They strive to balance modest purchases for their homes and hobbies with a strong emphasis on financial prudence and long-term security.","On Their Own Again consists of older singles living in high-rise rental apartments in urban centres such as London, Ottawa, and Hamilton. Many residents are aged 65 or older and live independently due to life changes such as the loss of a partner or divorce. This segment includes many newcomers from diverse cultural backgrounds, primarily from Asia and the U.K., contributing to a rich and varied neighbourhood dynamic. Residents often express concerns about their financial future, leading to a cautious approach to spending. Leisure activities are typically solitary and low-cost, focused on reading and media consumption, with some engagement in health and wellness routines. They strive to balance modest purchases for their homes and hobbies with a strong emphasis on financial prudence and long-term security.","$0 to $110,593",Mixed,Urban,$0 to $600K,White Collar / Service Sector,Medium,Singles,Rent,Apt 5+,success,0,2025-09-10 21:18,18:02.3
V8A 2P4,62,Suburban Recliners,"Older, lower-middle-income suburban singles | Suburban Recliners consists primarily of older individuals and couples living in affordable suburban neighbourhoods surrounding smaller and mid-sized cities. Characterized by a large proportion of empty-nesters and seniors earning modest lower-middle incomes, this segment tends to reside in single-detached homes and low-rise apartments, where they value a strong sense of community. These third-plus-generation Canadians enjoy their leisure time by attending local cultural events, theatre, and engaging in outdoor activities. Generally frugal, they make mindful spending decisions and show a strong interest in civic involvement and sustainability. Their lifestyle reflects a desire for connection, continuity, and meaningful engagement within their local communities.","Suburban Recliners consists primarily of older individuals and couples living in affordable suburban neighbourhoods surrounding smaller and mid-sized cities. Characterized by a large proportion of empty-nesters and seniors earning modest lower-middle incomes, this segment tends to reside in single-detached homes and low-rise apartments, where they value a strong sense of community. These third-plus-generation Canadians enjoy their leisure time by attending local cultural events, theatre, and engaging in outdoor activities. Generally frugal, they make mindful spending decisions and show a strong interest in civic involvement and sustainability. Their lifestyle reflects a desire for connection, continuity, and meaningful engagement within their local communities.","$0 to $110,593",Mixed,Suburban,$0 to $600K,Service Sector / Blue Collar,Low,Singles,Rent & Own,Single Detached / Low Rise Apt,success,1,2025-09-09 21:19,19:48.1
V9W 6Y7,62,Suburban Recliners,"Older, lower-middle-income suburban singles | Suburban Recliners consists primarily of older individuals and couples living in affordable suburban neighbourhoods surrounding smaller and mid-sized cities. Characterized by a large proportion of empty-nesters and seniors earning modest lower-middle incomes, this segment tends to reside in single-detached homes and low-rise apartments, where they value a strong sense of community. These third-plus-generation Canadians enjoy their leisure time by attending local cultural events, theatre, and engaging in outdoor activities. Generally frugal, they make mindful spending decisions and show a strong interest in civic involvement and sustainability. Their lifestyle reflects a desire for connection, continuity, and meaningful engagement within their local communities.","Suburban Recliners consists primarily of older individuals and couples living in affordable suburban neighbourhoods surrounding smaller and mid-sized cities. Characterized by a large proportion of empty-nesters and seniors earning modest lower-middle incomes, this segment tends to reside in single-detached homes and low-rise apartments, where they value a strong sense of community. These third-plus-generation Canadians enjoy their leisure time by attending local cultural events, theatre, and engaging in outdoor activities. Generally frugal, they make mindful spending decisions and show a strong interest in civic involvement and sustainability. Their lifestyle reflects a desire for connection, continuity, and meaningful engagement within their local communities.","$0 to $110,593",Mixed,Suburban,$0 to $600K,Service Sector / Blue Collar,Low,Singles,Rent & Own,Single Detached / Low Rise Apt,success,0,2025-09-09 21:33,33:57.5
V9L 2C8,62,Suburban Recliners,"Older, lower-middle-income suburban singles | Suburban Recliners consists primarily of older individuals and couples living in affordable suburban neighbourhoods surrounding smaller and mid-sized cities. Characterized by a large proportion of empty-nesters and seniors earning modest lower-middle incomes, this segment tends to reside in single-detached homes and low-rise apartments, where they value a strong sense of community. These third-plus-generation Canadians enjoy their leisure time by attending local cultural events, theatre, and engaging in outdoor activities. Generally frugal, they make mindful spending decisions and show a strong interest in civic involvement and sustainability. Their lifestyle reflects a desire for connection, continuity, and meaningful engagement within their local communities.","Suburban Recliners consists primarily of older individuals and couples living in affordable suburban neighbourhoods surrounding smaller and mid-sized cities. Characterized by a large proportion of empty-nesters and seniors earning modest lower-middle incomes, this segment tends to reside in single-detached homes and low-rise apartments, where they value a strong sense of community. These third-plus-generation Canadians enjoy their leisure time by attending local cultural events, theatre, and engaging in outdoor activities. Generally frugal, they make mindful spending decisions and show a strong interest in civic involvement and sustainability. Their lifestyle reflects a desire for connection, continuity, and meaningful engagement within their local communities.","$0 to $110,593",Mixed,Suburban,$0 to $600K,Service Sector / Blue Collar,Low,Singles,Rent & Own,Single Detached / Low Rise Apt,success,0,2025-09-09 22:20,20:36.1
V8A 3B5,62,Suburban Recliners,"Older, lower-middle-income suburban singles | Suburban Recliners consists primarily of older individuals and couples living in affordable suburban neighbourhoods surrounding smaller and mid-sized cities. Characterized by a large proportion of empty-nesters and seniors earning modest lower-middle incomes, this segment tends to reside in single-detached homes and low-rise apartments, where they value a strong sense of community. These third-plus-generation Canadians enjoy their leisure time by attending local cultural events, theatre, and engaging in outdoor activities. Generally frugal, they make mindful spending decisions and show a strong interest in civic involvement and sustainability. Their lifestyle reflects a desire for connection, continuity, and meaningful engagement within their local communities.","Suburban Recliners consists primarily of older individuals and couples living in affordable suburban neighbourhoods surrounding smaller and mid-sized cities. Characterized by a large proportion of empty-nesters and seniors earning modest lower-middle incomes, this segment tends to reside in single-detached homes and low-rise apartments, where they value a strong sense of community. These third-plus-generation Canadians enjoy their leisure time by attending local cultural events, theatre, and engaging in outdoor activities. Generally frugal, they make mindful spending decisions and show a strong interest in civic involvement and sustainability. Their lifestyle reflects a desire for connection, continuity, and meaningful engagement within their local communities.","$0 to $110,593",Mixed,Suburban,$0 to $600K,Service Sector / Blue Collar,Low,Singles,Rent & Own,Single Detached / Low Rise Apt,success,0,2025-09-10 21:09,09:39.5
